timestamp_utc,env,query_id,experiment_type,command,language,limit,pin_slugs,exclude_slugs,run_number,http_status,examples_returned_count,example_ids,example_scores,rank_1_id,rank_1_score,assertion_passed,assertion_detail,response_time_ms
2026-02-12T18:13:36.571858+00:00,local,same-domain-math,same_domain,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,staging_only: skipped in local,10263
2026-02-12T18:13:37.814911+00:00,local,same-domain-web,same_domain,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,staging_only: skipped in local,1238
2026-02-12T18:13:38.534094+00:00,local,cross-domain,cross_domain,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,staging_only: skipped in local,718
2026-02-12T18:13:38.752515+00:00,local,self-retrieval,self_retrieval,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,staging_only: skipped in local,218
2026-02-12T18:13:39.144164+00:00,local,lang-filter-python,language_filter,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,staging_only: skipped in local,391
2026-02-12T18:13:39.958217+00:00,local,validated-boost,validated_boost,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,staging_only: skipped in local,813
2026-02-12T18:13:40.487812+00:00,local,pin-override,pin,generate,Python,5,grnd-data-csv-parser-py,,1,200,5,grnd-data-csv-parser-py;grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,1.0;0.75;0.75;0.75;0.75,grnd-data-csv-parser-py,1.0,1,"pinned slug=grnd-data-csv-parser-py score=1.0, expected=1.0",529
2026-02-12T18:13:40.715268+00:00,local,exclude-override,exclude,generate,Python,5,,grnd-math-factorial-py,1,200,3,grnd-data-json-schema-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,excluded grnd-math-factorial-py absent=True,227
2026-02-12T18:13:40.830318+00:00,local,pin-exclude-conflict,conflict,generate,Python,5,grnd-math-factorial-py,grnd-math-factorial-py,1,400,0,,,,,1,"http_status=400, expected=400",113
2026-02-12T18:13:41.118378+00:00,local,ranking-stability,stability,generate,Python,5,,,1,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,stability: individual run recorded,287
2026-02-12T18:13:41.617065+00:00,local,ranking-stability,stability,generate,Python,5,,,2,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,stability: individual run recorded,497
2026-02-12T18:13:42.018924+00:00,local,ranking-stability,stability,generate,Python,5,,,3,200,4,grnd-data-json-schema-py;grnd-math-factorial-py;grnd-math-fibonacci-py;grnd-web-flask-api-py,0.75;0.75;0.75;0.75,grnd-data-json-schema-py,0.75,1,stability: individual run recorded,401
